doc_id,path,single,pages,source_type,extraction_status,scope,scope_review,language,yield_per_page
EU_ECB_ClosingReport_2025,EU_ECB_DigitalEuro_Closing_Report_Preparation_Phase_2025.pdf,False,42,official,extracted,retail_or_general,,en,2.86
EU_ECB_ThirdProgress_2025,EU_ECB_DigitalEuro_Third_Progress_Report_2025.pdf,False,14,official,extracted,retail_or_general,,en,2.21
HK_HKMA_eHKD_Phase2_2025,HK_HKMA_eHKD_Pilot_Programme_Phase2_Report_2025.pdf,False,44,official,extracted,retail_or_general,,en,2.48
NO_NB_FI2024_CBDC,NO_NorgesBank_Financial_Infrastructure_2024_CBDC_chapter.pdf,False,78,official,extracted,retail_or_general,,en,0.28
CN_PBOC_IntlOpsCenter_2025,CN_PBOC_eCNY_International_Operation_Center_2025.pdf,False,2,official,extracted,retail_or_general,,en,1.5
UA_NBU_eHryvnia_page_2025,UA_NBU_eHryvnia_official_page_2025.pdf,False,3,official,extracted,retail_or_general,,en,1.67
ECCU_ECCB_DCash2_Survey_2024,ECCU_ECCB_DCash2_Public_Survey_2024.pdf,False,4,official,extracted,retail_or_general,,en,0.5
BS_CBOB_SandDollar_Updates_2025,BS_CBOB_SandDollar_Public_Updates_2025.pdf,False,3,official,extracted,retail_or_general,,en,0.0
SG_MAS_Orchid_page_2025,SG_MAS_Project_Orchid_page_2025.pdf,False,4,official,extracted,wholesale,REVIEW,en,1.25
FR_BdF_DigitalEuro_page_2025,FR_BdF_DigitalEuro_page_2025.pdf,False,1,official,extracted,retail_or_general,,en,7.0
TR_DigitalLira_Phase2_2025,Digital_Turkish_Lira_Second_Phase_Progress_Report.pdf,False,13,official,queued_series3,retail_or_general,,en,
SE_Riksbank_PaymentsReport_2025,SE_Riksbank_Payments_Report_2025.pdf,False,73,official,queued_series3,retail_or_general,,en,
SE_Riksbank_PaymentsReport_2026,SE_Riksbank_Payments_Report_2026.pdf,False,80,official,queued_series3,retail_or_general,,en,
CA_BoC_PublicMoney_SDP2024_11,CA_BoC_Role_of_Public_Money_SDP2024-11.pdf,False,25,pseudo_official,queued_series3,retail_or_general,,en,
CA_BoC_Consultation_Report_2023,CA_BoC_Digital_Dollar_Consultation_Report_2023.pdf,False,55,official,queued_series3,retail_or_general,,en,
CA_BoC_ScaleDown_page_2024,CA_BoC_DigitalDollar_ScaleDown_page_2024.pdf,False,16,official,queued_series3,retail_or_general,,en,
CA_BoC_PETs_SDP2025_1,CA_BoC_PETs_for_CBDC_SDP2025-1.pdf,False,35,pseudo_official,queued_series3,retail_or_general,,en,
CA_BoC_RetailFeasibility_SDP2025_9,CA_BoC_Retail_CBDC_Feasibility_SDP2025-9.pdf,False,47,pseudo_official,queued_series3,retail_or_general,,en,
US_WhiteHouse_EO14178_2025,US_WhiteHouse_EO14178_FR_2025.pdf,False,4,official,queued_series3,framework,REVIEW,en,
US_Congress_AntiCBDC_HR1919_2025,US_Congress_HR1919_AntiCBDC_OnePager_2025.pdf,False,1,official,queued_series3,framework,REVIEW,en,
CN_PBOC_LuLei_ActionPlan_2025,CN_PBOC_LuLei_ActionPlan_FinancialNews_2025.pdf,False,6,pseudo_official,queued_series3,retail_or_general,,en,
SE_Riksbank_StaffMemo_DigitalEuro_2024,SE_Riksbank_StaffMemo_DigitalEuro_Sweden_2024.pdf,False,24,pseudo_official,queued_series3,retail_or_general,,en,
US_Fed_FEDSNote_Stablecoins_XB_2026,US_Fed_FEDSNote_Stablecoins_CrossBorder_2026.pdf,False,15,pseudo_official,queued_series3,retail_or_general,,en,
