variant,jur,analytic_candidate_mass,analytic_contributions,documents,privacy_family_share,privacy_posture,state_privacy_raw,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,score_cash_substitution,score_financial_inclusion,score_sovereignty_competition,score_payment_modernization,score_monetary_transmission,score_state_control,state_privacy_score,score_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite
openai,RW,2,2,1,,0,0,0,0,0,0,0,0,0.0306173393551,0.05,0.05,0.05,0.05,0.05,0.403610441696,0.05,financial_inclusion,0.05,0.05,True,RWA,Rwanda,financial_inclusion,False
openai,SE,77,77,4,0.384615384615,-0.0284090909091,-0.785714285714,0.365979381443,0.0819587628866,0.0262886597938,0.271649484536,0.109278350515,0.0412371134021,0.363375,0.537220617634,0.361238954345,0.429823123868,0.516264423464,0.200281162137,0.05,0.95,financial_inclusion,0.537220617634,0.516264423464,True,SWE,Sweden,cash_substitution,False
openai,SG,100,100,2,0.2,-0.015,-0.5,0.0102236421725,0.0357827476038,0.0210862619808,0.265814696486,0.044089456869,0.275399361022,0.0435009853706,0.317210085485,0.299646280237,0.419655506873,0.223074413327,0.919522920225,0.169938785203,0.0944728434505,state_control,0.919522920225,0.419655506873,False,SGP,Singapore,sovereignty_competition,False
openai,SZ,127,129,1,0.355555555556,0.0895669291339,0.784482758621,0.204383561644,0.116438356164,0.0432876712329,0.404109589041,0.123835616438,0.111232876712,0.60382277837,0.596366221578,0.520261527869,0.768747940404,0.535769902541,0.455367995019,0.827816997013,0.679918549878,payment_modernization,0.768747940404,0.60382277837,False,SWZ,Eswatini,financial_inclusion,False
openai,TH,32,32,2,0.125,0.09375,1,0.12,0.00428571428571,0.06,0.294285714286,0.19,0.128571428571,0.512294808794,0.0820038610039,0.584410343557,0.469268689384,0.62442446213,0.514060199326,0.95,0.52950367834,monetary_transmission,0.62442446213,0.584410343557,True,THA,Thailand,monetary_transmission,False
openai,TR,148,148,2,0.451612903226,0.118243243243,0.827586206897,0.101061946903,0.0720353982301,0.0387610619469,0.331150442478,0.0447787610619,0.0686725663717,0.442598784219,0.520198276592,0.502886533108,0.556057201314,0.226672608129,0.30026468222,0.852253597611,0.489619469027,payment_modernization,0.556057201314,0.520198276592,True,TUR,Turkey,financial_inclusion,False
openai,UA,61,61,2,0.235294117647,-0.108606557377,-1,0.105527638191,0.0733668341709,0.0562814070352,0.308040201005,0.117085427136,0.0934673366834,0.192667733287,0.522482195146,0.570136848939,0.493237058367,0.526725231865,0.390624714481,0.05,0.503706492254,sovereignty_competition,0.570136848939,0.526725231865,True,UKR,Ukraine,financial_inclusion,False
openai,UK,319,319,2,0.661016949153,0.057210031348,0.37676056338,0.08459563543,0.0648267008986,0.00847240051348,0.39486521181,0.152374839538,0.120924261874,0.308407904128,0.507832621525,0.150307170365,0.74179870212,0.574009996663,0.490686486171,0.596667406011,0.417991014121,payment_modernization,0.74179870212,0.574009996663,False,GBR,United Kingdom,sovereignty_competition,False
openai,UN,40,41,2,0.25,-0.025,-1,0.190697674419,0.167441860465,0.111627906977,0.186046511628,0.109302325581,0.209302325581,0.250737649118,0.683856611643,0.782579559539,0.280652625356,0.516296547981,0.736997133844,0.05,0.655523265669,sovereignty_competition,0.782579559539,0.736997133844,True,UNI,International / cross-border bodies (UN-system),monetary_transmission,True
openai,US,125,125,5,0.34375,0.063,0.55,0.0497512437811,0.0450248756219,0.0664179104478,0.272388059701,0.071144278607,0.288059701493,0.213580106358,0.386226300928,0.609044932797,0.431110154235,0.364301639201,0.95,0.694881889764,0.266417910448,state_control,0.95,0.609044932797,False,USA,United States,sovereignty_competition,False
openai,UY,51,51,2,0.277777777778,-0.0735294117647,-0.583333333333,0.283261802575,0.0068669527897,0.0759656652361,0.286266094421,0.0798283261803,0.195708154506,0.357045864348,0.10127943394,0.645693156434,0.455293816169,0.409632706617,0.699457072492,0.130993509121,0.820520110722,state_control,0.699457072492,0.645693156434,True,URY,Uruguay,monetary_transmission,False
openai,ZA,111,115,3,0.224719101124,-0.027027027027,-1,0.049896049896,0,0.102494802495,0.365488565489,0.0673596673597,0.0767151767152,0.102145790021,0.05,0.747522934922,0.656159808131,0.344545820714,0.329574513325,0.05,0.267047817048,sovereignty_competition,0.747522934922,0.656159808131,True,ZAF,South Africa,monetary_transmission,False
claude,AE,73,73,3,0.210526315789,0.0787671232877,0.53125,0.0671096345515,0.0538205980066,0.0933554817276,0.36976744186,0.170431893688,0.292358803987,0.271751123551,0.451908952142,0.712442449636,0.668633602314,0.5982048897,0.95,0.684251968504,0.341926910299,state_control,0.95,0.712442449636,False,ARE,United Arab Emirates,financial_inclusion,False
claude,AM,2,2,1,,0,0,0.428571428571,0,0,0.128571428571,0,0,0.581729447748,0.05,0.05,0.180497379571,0.05,0.05,0.403610441696,0.95,cash_substitution,0.581729447748,0.180497379571,False,ARM,Armenia,financial_inclusion,False
claude,AU,97,98,3,0.384615384615,0.0747422680412,0.140625,0.0726495726496,0,0.0294871794872,0.245299145299,0.0440170940171,0.1,0.239770545106,0.05,0.399107142857,0.383905405051,0.222696676414,0.414431818182,0.469330595085,0.366025641026,state_control,0.414431818182,0.399107142857,True,AUS,Australia,sovereignty_competition,False
