jur,n_segs,n_docs,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,fz_cash_substitution,fz_financial_inclusion,fz_sovereignty_competition,fz_payment_modernization,fz_monetary_transmission,fz_state_control,state_privacy_raw,state_privacy_fz,fz_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite,vocab,net_privacy_posture
ES,23,3,0.046875,0.015625,0.128125,0.259375,0.0,0.21875,0.18675210037339968,0.13779181121711478,0.6678857445294979,0.2462546027446389,0.05,0.5236181477971205,0.5,0.95,0.19302542674253198,sovereignty_competition,0.6678857445294979,0.5236181477971205,False,ESP,Spain,sovereignty_competition,False,0.07692307692307693,0.08695652173913043
EU,167,4,0.33839662447257385,0.2333333333333333,0.06814345991561181,0.2921940928270042,0.4432489451476794,0.08059071729957806,0.778485682672109,0.7010031453902168,0.4801737525361568,0.3612467731240938,0.9436320070947566,0.1416404898326305,0.7138888888888889,0.95,0.8046363645189758,monetary_transmission,0.9436320070947566,0.778485682672109,False,EMU,Euro Area,sovereignty_competition,False,0.4811320754716981,0.24663173652694612
FR,12,2,0.3931034482758621,0.20689655172413793,0.1620689655172414,0.4793103448275862,0.027586206896551727,0.0,0.7206811888720293,0.6663270674269398,0.7681429506433722,0.8405331650864786,0.12716005298705282,0.05,0.0,0.7046176605621589,0.8919305314119541,payment_modernization,0.8405331650864786,0.7681429506433722,True,FRA,France,,False,0.3333333333333333,0.14583333333333334
GH,80,2,0.38857142857142857,0.34448979591836737,0.046530612244897955,0.3791836734693878,0.20775510204081635,0.1461224489795918,0.671841280217046,0.8468026689366095,0.3437368912875942,0.6093953570866355,0.5736410119004685,0.364117800050093,-0.11904761904761904,0.6298477638262365,0.8846989128141787,financial_inclusion,0.8468026689366095,0.671841280217046,False,GHA,Ghana,financial_inclusion,False,0.5277777777777778,-0.034375
HK,318,4,0.16714285714285715,0.042738095238095235,0.06547619047619048,0.32714285714285707,0.0761904761904762,0.2528571428571429,0.39910401525505407,0.29013150649100344,0.4633359033103939,0.48370092753792926,0.26310871777376493,0.5483260624137595,-0.13942307692307693,0.6170506084233576,0.5313714606728671,state_control,0.5483260624137595,0.48370092753792926,True,HKG,Hong Kong,sovereignty_competition,False,0.3827751196172249,-0.0007861635220125787
HU,46,1,0.07530864197530864,0.15123456790123457,0.043209876543209874,0.38703703703703707,0.11543209876543212,0.36296296296296293,0.1325706706490787,0.5933174507812318,0.322773862117297,0.6275244850785014,0.3728695735715952,0.6280889793301463,-0.7894736842105263,0.19051522248243558,0.27978241399294024,state_control,0.6280889793301463,0.6275244850785014,True,HUN,Hungary,sovereignty_competition,False,0.15,-0.327445652173913
ID,302,3,0.07431693989071038,0.02204007285974499,0.12559198542805097,0.3901639344262295,0.11493624772313298,0.13551912568306013,0.19537365808487334,0.173836026605708,0.660404209589205,0.6347427836454516,0.37148265246131135,0.32811998973893974,-0.25,0.5476008774167219,0.2767565235641163,sovereignty_competition,0.660404209589205,0.6347427836454516,True,IDN,Indonesia,monetary_transmission,False,0.22033898305084745,-0.004759933774834437
IL,571,2,0.11507643647865051,0.05123879810226674,0.014971006852925671,0.4997891407485503,0.13036373220875067,0.3590405904059041,0.3267066835335861,0.3378942009591079,0.14450847088103472,0.8878075220129579,0.41463412757462215,0.6252475321107066,0.015873015873015872,0.7145869801269485,0.4011222706212024,payment_modernization,0.8878075220129579,0.6252475321107066,False,ISR,Israel,sovereignty_competition,False,0.3188010899182561,0.00908493870402802
IN,191,2,0.338177874186551,0.1418655097613883,0.10065075921908893,0.3140997830802603,0.15379609544468548,0.28806941431670285,0.5408737985836346,0.5810284287927616,0.5867375763994396,0.43800035309536367,0.4801756641721239,0.5738345548818854,-0.33157894736842103,0.49613583138173306,0.8042873107328405,sovereignty_competition,0.5867375763994396,0.5810284287927616,True,IND,India,monetary_transmission,False,0.32786885245901637,-0.07787958115183247
IS,59,1,0.4490909090909091,0.0,0.010909090909090908,0.21909090909090911,0.4727272727272727,0.15545454545454546,0.5282344847775176,0.05,0.1188665438903929,0.1051064281190428,0.95,0.39579985192345674,-0.6,0.31697892271662764,0.95,monetary_transmission,0.95,0.5282344847775176,False,ISL,Iceland,cash_substitution,False,0.09523809523809523,-0.057203389830508475
